ano,mes,tentesp,zeuro,euribor,mibor,irs,deuda,bancos,cajas,ceca,ahe,ced
1999,Ago,"4,471",-,"3,237","3,233",-,"3,599","4,316","4,648","5,750",-,"3,849"
1999,Sep,"4,545",-,"3,301","3,260",-,"3,758","4,436","4,666","5,750","3,500","4,689"
1999,Oct,"4,665",-,"3,684","3,607",-,"4,004","4,578","4,762","5,875",-,"4,893"
1999,Nov,"4,807",-,"3,689","3,659",-,"4,217","4,772","4,847","5,750",-,"4,863"
1999,Dic,"4,940",-,"3,826","3,806",-,"4,397","4,876","5,016","5,875","4,000","4,877"
2000,Ene,"5,040",-,"3,949","3,924",-,"4,561","4,997","5,087","6,125",-,"4,911"
2000,Feb,"5,166",-,"4,111","4,099",-,"4,689","5,118","5,217","6,250",-,"5,117"
2000,Mar,"5,231",-,"4,267","4,259",-,"4,795","5,173","5,296","6,125","4,250","5,179"
2000,Abr,"5,353",-,"4,365","4,348",-,"4,826","5,320","5,391","6,125",-,"4,164"
2000,May,"5,522",-,"4,849","4,847",-,"4,965","5,490","5,557","6,375",-,"5,194"
2000,Jun,"5,703",-,"4,965","4,959",-,"5,054","5,653","5,753","6,500","4,500","5,099"
2000,Jul,"5,891",-,"5,105","5,097",-,"5,115","5,883","5,899","6,750",-,"5,072"
2000,Ago,"6,029",-,"5,248","5,247",-,"5,180","5,977","6,080","7,000",-,"5,145"
2000,Sep,"6,232",-,"5,219","5,208",-,"5,251","6,238","6,227","7,000","5,000","5,613"
2000,Oct,"6,284",-,"5,218","5,212",-,"5,299","6,163","6,402","7,135",-,"5,613"
2000,Nov,"6,348",-,"5,193","5,188",-,"5,287","6,224","6,471","7,125",-,"5,647"
2000,Dic,"6,371",-,"4,881","4,889",-,"5,241","6,260","6,485","7,000","5,250","5,425"
2001,Ene,"6,390",-,"4,564","4,564",-,"5,122","6,248","6,532","7,250",-,"5,448"
2001,Feb,"6,280",-,"4,591","4,582",-,"5,000","6,128","6,433","7,000",-,"5,448"
2001,Mar,"6,147",-,"4,471","4,469",-,"4,859","5,971","6,323","6,875","5,250","3,940"
2001,Abr,"6,025",-,"4,481","4,460",-,"4,751","5,814","6,241","6,875",-,"5,031"
2001,May,"5,926",-,"4,520","4,499",-,"4,661","5,757","6,099","6,750",-,"4,758"
2001,Jun,"5,806",-,"4,312","4,310",-,"4,618","5,640","5,971","6,750","5,000","5,157"
2001,Jul,"5,768",-,"4,311","4,310",-,"4,610","5,634","5,908","6,625",-,"5,157"
2001,Ago,"5,723",-,"4,108","4,107",-,"4,571","5,587","5,852","6,625",-,"5,157"
2001,Sep,"5,627",-,"3,770","3,771",-,"4,519","5,480","5,772","6,625","4,500","5,157"
2001,Oct,"5,390",-,"3,369","3,366",-,"4,401","5,206","5,582","6,500",-,"4,510"
